date, pm25, pm10, o3, no2, so2, co
2023-10-16,70,44,50,15,2,5
2023-10-17,70,35,36,16,1,5
2023-10-18,62,38,50,15,2,4
2023-10-19,65,24,33,8,1,3
2023-10-20,34,26,30,11,2,4
2023-10-21,46,32,37,8,2,5
2023-10-22,55,45,47,20,3,5
2023-10-23,71,59,47,23,2,6
2023-10-24,96,43,45,15,2,5
2023-10-25,82,57,74,18,3,6
2023-10-26,100,62,41,19,3,5
2023-10-27,114,39,37,14,3,5
2023-10-28,82,39,37,13,4,4
2023-10-29,79,47,46,16,3,3
2023-10-30,86,59,49,22,3,6
2023-10-31,100,51,63,17,4,4
2023-11-01,97,53,64,19,3,6
2023-11-02,86,46,43,17,4,5
2023-11-03,75,46,37,20,4,8
2023-11-04,85,37,38,14,7,5
2023-11-05,73,36,36,10,3,4
2023-11-06,55,32,33,8,1,4
2023-11-07,54,42,33,19,6,6
2023-11-08,67,42,43,17,2,6
2023-11-09,77,31,30,12,2,5
2023-11-10,61,31,29,13,5,6
2023-11-11,61,26,33,8,2,6
2023-11-12,59,27,32,11,2,6
2023-11-13,59,26,30,14,2,6
2023-11-14,59,41,34,19,3,6
2023-11-15,83,54,30,22,2,7
2023-11-16,98,29,29,11,2,6
2023-11-17,60,32,33,6,2,6
2023-11-18,59,29,35,7,2,4
2023-11-19,60,47,32,13,3,6
2023-11-20,81,41,35,22,3,7
2023-11-21,78,44,38,24,3,7
2023-11-22,80,48,50,17,3,7
2023-11-23,87,23,33,8,2,6
2023-11-24,52,26,29,14,4,8
2023-11-25,52,30,33,14,3,9
2023-11-26,63,40,31,20,3,7
2023-11-27,78,45,29,11,2,7
2023-11-28,77,31,26,16,2,7
2023-11-29,68,26,30,10,2,7
2023-11-30,53,25,29,11,2,7
2023-12-01,55,32,32,13,2,6
2023-12-02,64,38,32,15,2,6
2023-12-03,75,39,30,21,3,6
2023-12-04,73,43,29,26,5,7
2023-12-05,75,48,42,26,3,7
2023-12-06,86,62,36,11,3,4
2023-12-07,95,66,45,16,3,4
2023-12-08,81,61,49,19,3,6
2023-12-09,84,71,34,16,6,9
2023-12-10,107,58,35,7,11,8
2023-12-11,74,20,31,4,4,9
2023-12-12,43,23,21,15,3,5
2023-12-13,36,38,29,26,5,11
2023-12-14,66,21,29,20,5,12
2023-12-15,51,19,32,7,2,5
2023-12-16,43,20,32,6,2,6
2023-12-17,48,18,30,10,2,6
2023-12-18,49,21,26,15,2,7
2023-12-19,51,37,30,13,2,7
2023-12-20,79,23,30,10,2,7
2023-12-21,54,25,31,9,3,8
2023-12-22,52,23,33,11,2,8
2023-12-23,53,28,34,15,2,8
2023-12-24,67,41,34,14,3,7
2023-12-25,84,42,29,15,2,7
2023-12-26,78,58,32,27,4,8
2023-12-27,100,61,38,24,3,9
2023-12-28,124,61,35,18,2,8
2023-12-29,134,60,32,19,2,8
2023-12-30,134,47,33,13,3,9
2023-12-31,106,43,35,11,4,7
2023-07-01,84,38,56,12,5,7
2023-07-02,81,48,29,21,10,10
2023-07-03,92,30,27,15,4,5
2023-07-04,59,27,51,12,3,3
2023-07-05,54,44,71,13,2,4
2023-07-06,70,40,42,22,3,6
2023-07-07,76,30,47,14,3,5
2023-07-08,59,42,50,13,7,6
2023-07-09,85,40,61,15,2,6
2023-07-10,82,28,35,11,2,4
2023-07-11,68,21,42,13,2,2
2023-07-12,56,40,23,15,2,4
2023-07-13,79,23,19,11,3,4
2023-07-14,49,22,15,9,3,4
2023-07-15,40,19,30,7,3,3
2023-07-16,42,15,19,6,2,3
2023-07-17,32,20,27,15,5,8
