date, pm25, pm10, o3, no2, so2, co
2024/2/26, 36, 24, 36, 20, 2, 3
2024/2/27, 47, 33, 38, 21, 5, 3
2024/2/28, 57, 20, 29, 19, 4, 3
2024/2/29, 48, 27, 37, 7, 3, 2
2024/3/1, 50, 34, 37, 7, 4, 3
2024/3/2, 42, 49, 47, 20, 9, 5
2024/3/3, 95, 64, 49, 35, 5, 6
2024/3/4, 127, 19, 47, 16, 4, 3
2024/3/5, 42, 17, 40, 12, 3, 3
2024/3/6, 43, 27, 38, 14, 3, 3
2024/3/7, 58, 37, 41, 10, 3, 4
2024/3/8, 72, 35, 39, 13, 4, 3
2024/3/9, 64, 32, 42, 18, 4, 4
2024/3/10, 67, 35, 40, 28, 5, 5
2024/3/11, 66, 25, 37, 16, 4, 5
2024/3/12, 61, 34, 45, 21, 5, 5
2024/3/13, 69, 41, 58, 19, 4, 4
2024/3/14, 88, 40, 54, 27, 5, 6
2024/3/15, 90, 46, 69, 19, 5, 5
2024/3/16, 78, 34, 52, 11, 11, 4
2024/3/17, 54, 61, 41, 14, 4, 4
2024/3/18, 70, 41, 46, 12, 8, 3
2024/3/19, 65, 29, 42, 8, 3, 2
2024/3/20, 58, 30, 44, 15, 3, 3
2024/3/21, 52, 33, 44, 24, 15, 4
2024/3/22, 50, 42, 60, 16, 3, 4
2024/3/23, 61, 25, 46, 10, 3, 4
2024/3/24, 43, 16, 42, 12, 5, 3
2024/3/25, 32, 8, 40, 12, 4, 2
2024/3/26, 15, 21, 37, 25, 3, 4
2024/3/27, 43, 17, 31, 28, 6, 4
2024/3/28, 36, 75, 46, 15, 3, 5
2024/3/29, 73, 66, 56, 22, 3, 5
2024/3/30, 85, 53, 49, 17, 3, 5
2024/3/31, 85, 51, 49, 28, 4, 5
2023/10/1, 48, 18, 39, 13, 3, 3
2023/10/2, 43, 22, 24, 18, 3, 3
2023/10/3, 52, 22, 40, 18, 3, 4
2023/10/4, 56, 26, 37, 20, 3, 4
2023/10/5, 44, 31, 44, 29, 3, 4
2023/10/6, 53, 26, 36, 21, 4, 4
2023/10/7, 57, 14, 30, 10, 3, 4
2023/10/8, 26, 14, 27, 12, 2, 4
2023/10/9, 35, 20, 40, 19, 3, 4
2023/10/10, 52, 23, 37, 23, 3, 4
2023/10/11, 53, 23, 39, 27, 4, 4
2023/10/12, 51, 27, 51, 29, 4, 3
2023/10/13, 62, 25, 57, 22, 3, 4
2023/10/14, 66, 19, 47, 13, 2, 4
2023/10/15, 58, 29, 42, 31, 2, 4
2023/10/16, 65, 32, 37, 25, 3, 4
2023/10/17, 64, 31, 42, 36, 4, 4
2023/10/18, 68, 31, 50, 38, 4, 5
2023/10/19, 71, 15, 32, 10, 2, 3
2023/10/20, 28, 18, 29, 14, 2, 3
2023/10/21, 31, 18, 26, 20, 3, 4
2023/10/22, 39, 30, 43, 30, 3, 4
2023/10/23, 56, 36, 39, 41, 3, 5
2023/10/24, 81, 35, 41, 37, 4, 5
2023/10/25, 75, 38, 45, 40, 4, 6
2023/10/26, 91, 43, 41, 31, 4, 5
2023/10/27, 98, 26, 44, 21, 3, 4
2023/10/28, 61, 22, 42, 20, 3, 4
2023/10/29, 51, 25, 40, 38, 4, 4
2023/10/30, 57, 37, 38, 42, 4, 4
2023/10/31, 79, 42, 46, 45, 6, 5
2023/11/1, 82, 33, 47, 43, 5, 4
2023/11/2, 67, 26, 35, 28, 4, 3
2023/11/3, 56, 28, 36, 19, 3, 4
2023/11/4, 68, 27, 37, 12, 3, 3
2023/11/5, 75, 19, 33, 8, 3, 3
2023/11/6, 33, 22, 28, 10, 2, 3
2023/11/7, 45, 22, 35, 19, 3, 4
2023/11/8, 39, 26, 35, 26, 3, 6
2023/11/9, 60, 18, 31, 14, 2, 5
2023/11/10, 42, 18, 25, 11, 3, 5
2023/11/11, 43, 15, 30, 7, 2, 5
2023/11/12, 36, 16, 28, 11, 2, 6
2023/11/13, 35, 20, 27, 15, 3, 6
2023/11/14, 51, 31, 30, 20, 3, 7
2023/11/15, 73, 38, 24, 26, 4, 6
2023/11/16, 96, 16, 27, 9, 2, 3
2023/11/17, 37, 13, 31, 6, 2, 5
2023/11/18, 34, 21, 32, 14, 2, 6
2023/11/19, 51, 36, 28, 23, 3, 8
2023/11/20, 72, 40, 25, 36, 4, 10
2023/11/21, 87, 32, 36, 32, 4, 10
2023/11/22, 76, 36, 53, 19, 3, 7
2023/11/23, 84, 18, 31, 8, 2, 3
2023/11/24, 35, 18, 26, 12, 2, 4
2023/11/25, 29, 27, 22, 24, 4, 5
2023/11/26, 59, 37, 30, 32, 6, 7
2023/11/27, 74, 33, 30, 10, 2, 4
2023/11/28, 61, 29, 27, 16, 3, 5
2023/11/29, 64, 19, 27, 9, 2, 3
2023/11/30, 35, 21, 27, 12, 2, 3
2023/12/1, 41, 22, 29, 16, 3, 3
2023/12/2, 53, 37, 32, 25, 3, 4
2023/12/3, 80, 42, 20, 36, 6, 6
2023/12/4, 85, 44, 21, 36, 5, 7
2023/12/5, 92, 48, 46, 32, 6, 8
2023/12/6, 105, 45, 36, 17, 3, 6
2023/12/7, 70, 61, 46, 27, 4, 8
2023/12/8, 82, 48, 39, 21, 3, 8
2023/12/9, 69, 49, 45, 19, 3, 10
2023/12/10, 93, 31, 26, 19, 3, 9
2023/12/11, 64, 8, 27, 8, 2, 3
2023/12/12, 23, 16, 29, 15, 3, 3
2023/12/13, 36, 25, 19, 30, 3, 4
2023/12/14, 57, 13, 17, 25, 3, 4
2023/12/15, 35, 9, 30, 7, 2, 4
2023/12/16, 16, 13, 28, 6, 2, 6
2023/12/17, 27, 15, 27, 10, 3, 5
2023/12/18, 28, 23, 22, 15, 3, 2
2023/12/19, 39, 26, 27, 19, 3, 3
2023/12/20, 61, 17, 25, 10, 3, 3
2023/12/21, 41, 19, 26, 13, 3, 2
2023/12/22, 39, 19, 29, 14, 4, 2
2023/12/23, 36, 26, 30, 21, 4, 3
2023/12/24, 59, 36, 32, 22, 5, 3
2023/12/25, 76, 37, 23, 31, 4, 5
2023/12/26, 85, 44, 23, 37, 6, 4
2023/12/27, 87, 53, 32, 40, 6, 5
2023/12/28, 111, 57, 31, 30, 4, 5
2023/12/29, 129, 60, 25, 36, 6, 7
2023/12/30, 146, 37, 38, 18, 6, 8
2023/12/31, 86, 19, 32, 16, 5, 6
